(48.01569459266331, -122.53993166461508, 4, 6, -202)
(48.015699255619, -122.5399300636506, 4, 6, -284)
(48.01570581913968, -122.53992741842615, 4, 6, -177)
(48.01571206350122, -122.53992529348774, 4, 6, -134)
(48.015717509271106, -122.53992281057546, 4, 6, -12)
(48.015721240284584, -122.53992120445469, 4, 6, -130)
(48.015727699563755, -122.53991825040073, 4, 6, -171)
(48.01573544342556, -122.53991476459764, 4, 6, -298)
(48.015742436154866, -122.53991214517417, 4, 6, 53)
(48.015749478090015, -122.53990845146849, 4, 6, -176)
(48.01575609202892, -122.53990590995247, 4, 6, -90)
(48.015763194703894, -122.53990301796603, 4, 6, 35)
(48.01577025293706, -122.53990009718522, 4, 6, -70)
(48.01577746935603, -122.53989645032192, 4, 6, -173)
(48.0157846507222, -122.53989295357418, 4, 6, -76)
(48.015792581604394, -122.53988948362482, 4, 6, -37)
(48.01579948714045, -122.53988616074922, 4, 6, -100)
(48.0158081266198, -122.53988296018473, 4, 6, -64)
(48.01581536405623, -122.53987981948245, 4, 6, -98)
(48.015822037608764, -122.53987682615758, 4, 6, 99)
(48.01582814774463, -122.5398737117253, 4, 6, 34)
(48.0158338645606, -122.53987132296409, 4, 6, -53)
(48.015839457665855, -122.53986857013686, 4, 6, -81)
(48.01584549995526, -122.53986637528466, 4, 6, -104)
(48.01585186045181, -122.53986350967081, 4, 6, 1)
(48.015858400589295, -122.53986051589881, 4, 6, -94)
(48.01586514015684, -122.53985812484059, 4, 6, -105)
(48.01587184502252, -122.53985515559673, 4, 6, -109)
(48.01587852636843, -122.53985169813512, 4, 6, -16)
(48.01588451266593, -122.53984930196496, 4, 6, -11)
(48.015891437126115, -122.5398459810779, 4, 6, -125)
(48.015898765694565, -122.53984266558467, 4, 6, -2)
(48.01590682998109, -122.53983925480127, 4, 6, -79)
(48.01591416965905, -122.53983581659836, 4, 6, -149)
(48.01592229117667, -122.53983192998277, 4, 6, -99)
(48.01592981517896, -122.53982825455317, 4, 6, -153)
(48.01593715910655, -122.53982530875635, 4, 6, -246)
(48.01594306838035, -122.53982279510605, 4, 6, -159)
(48.015948694339805, -122.53981985434552, 4, 6, -67)
(48.01595423466514, -122.53981726752615, 4, 6, -124)
(48.01596102695609, -122.5398139329597, 4, 6, -337)
(48.01596811502552, -122.5398103589243, 4, 6, -68)
(48.01597583061873, -122.5398066182173, 4, 6, -32)
(48.01598270110082, -122.53980313279745, 4, 6, -82)
(48.01598951529334, -122.53979988475213, 4, 6, -70)
(48.01599657104392, -122.53979674204889, 4, 6, -117)
(48.01600344097809, -122.53979306871722, 4, 6, -42)
(48.016009832268985, -122.53978995388997, 4, 6, -99)
(48.016013878194954, -122.53978773291243, 4, 6, -160)


fog point

(48.01540638490709, -122.540051422241, 4, 6, 10)
