Latitude,Longitude,Flag
48.01600995219962,-122.53978324035624,4
48.0160099617206,-122.53978324750538,4
48.01600995734321,-122.53978323789991,4
48.01600996384814,-122.53978324388345,4
48.016009966262175,-122.53978324825272,4
48.0160099697777,-122.53978325140997,4
48.016009992149925,-122.53978324458241,4
48.01601000349446,-122.53978323897346,4
48.016009998770514,-122.53978323870388,4
48.016009991072,-122.53978323697743,4
48.01600999310166,-122.53978324280537,4
48.016010011775265,-122.53978323302977,4
48.016010016760504,-122.53978321873045,4
48.01601001300509,-122.53978321951328,4
48.016010007744605,-122.5397832345186,4
48.01600999008791,-122.53978323457737,4
48.01601000388716,-122.53978325287183,4
48.01601000860357,-122.53978324576914,4
48.016010012556876,-122.53978324188881,4
48.016010019745394,-122.53978328417324,4
48.01601004620108,-122.5397832773553,4
